vendor_id,category,event_type,location,capacity,rating,experience_years,popularity_score,duration_hours,month,price
1,Sound,Exhibition,Peradeniya,461,3.62,1,776,11,July,108500
2,Music,Sports,Peradeniya,873,4.55,8,823,9,April,188200
3,Photography,Corporate,Tennekumbura,345,3.31,4,96,10,June,190000
4,Venue,Cultural,Wattegama,558,4.71,20,505,3,January,580500
5,Sound,Corporate,Tennekumbura,681,3.76,19,291,6,January,154900
6,Security,Birthday,Kadugannawa,356,4.32,6,121,11,August,89200
7,Decoration,Exhibition,Akurana,961,4.61,9,111,9,July,209300
8,Makeup,Birthday,Gelioya,135,3.76,1,599,8,January,47900
9,Lighting,Musical,Kurunegala Road,937,3.78,8,133,8,August,195700
10,Decoration,Exhibition,Gampola,511,3.96,15,907,5,February,96000
11,Music,Sports,Gampola,386,3.18,3,243,10,May,90800
12,Catering,Musical,Katugastota,821,4.95,2,525,2,July,363900
13,Music,Birthday,Yatinuwara,502,4.99,15,29,5,June,143300
14,Transport,Sports,Harispattuwa,691,4.09,8,508,4,May,96800
15,Catering,Corporate,Kandy,561,4.05,3,641,9,September,344300
16,Decoration,Cultural,Kadugannawa,424,4.52,2,609,2,May,172200
17,Lighting,Wedding,Gampola,701,3.54,17,559,8,April,197800
18,Sound,Exhibition,Yatinuwara,774,4.61,16,720,2,July,122900
19,Makeup,Sports,Kadugannawa,729,4.96,8,989,8,October,192700
20,Music,Birthday,Gampola,327,3.46,15,84,7,December,144700
21,Security,Musical,Digana,287,4.01,4,445,7,October,63800
22,Catering,Corporate,Tennekumbura,746,3.91,1,514,11,February,222800
23,Florist,Sports,Akurana,660,4.2,16,530,2,March,116600
24,Music,Corporate,Anniewatta,647,4.16,15,918,10,May,95900
25,Security,Sports,Yatinuwara,937,4.22,9,913,11,May,214900
26,Transport,Corporate,Gampola,275,4.51,3,379,12,October,63600
27,Security,Exhibition,Madawala,508,3.92,12,872,11,June,75200
28,Security,Exhibition,Ampitiya,168,4.35,5,727,10,October,93500
29,Security,Sports,Kadugannawa,870,4.46,20,854,4,June,129700
30,Florist,Exhibition,Madawala,976,3.62,10,814,8,October,177400
31,Makeup,Wedding,Gampola,87,3.84,14,309,7,March,41700
32,Florist,Musical,Pilimathalawa,944,3.49,20,652,4,March,137600
33,Decoration,Corporate,Wattegama,644,4.09,6,642,4,September,88100
34,Makeup,Corporate,Kandy,337,4.92,11,672,6,December,64300
35,Security,Sports,Madawala,635,4.21,4,593,6,December,93500
36,Security,Wedding,Ampitiya,839,4.74,5,446,2,January,162900
37,Transport,Exhibition,Akurana,731,4.45,12,907,7,May,142900
38,Makeup,Birthday,Tennekumbura,713,4.91,16,281,4,September,124500
39,Florist,Musical,Gampola,409,3.61,7,540,6,April,85300
