event_name,category,date,start_time,venue,address,organizer,description,price,capacity,latitude,longitude,rating,rating_count,traffic_score,tags
KANDHE SAJJE LIVE IN CONCERT,Music Event,15-Oct-25,19:00,Dharmaraja College Auditorium,"Dharmaraja College, Kandy",Local Organizers,Live concert featuring local artists.,0,800,7.29,80.633,4.6,110,55,"music,live,evening"
Kings & Queens Wedding Expo 2025,Business Expo,24-Oct-25,10:00,Kandy City Centre,"Dalada Veediya, Kandy",Event Organizers,Wedding expo with vendors and fashion shows.,200,1500,7.292,80.636,4.4,3458,27.57,"expo,wedding,shopping"
ICONOGRAPHY : Angels Grand Tour,Business Expo,20-Sep-25,9:00,Kandy Art Gallery,"Kandy Art Gallery, Kandy",Local Art Council,Art exhibition showcasing iconography.,0,300,7.2915,80.6335,4.1,23,20.83,"art,exhibition,free"
World Tourism Day Trade Fair and Exhibition,Cultural Festival,27-Sep-23,9:00,Central Province Exhibition Grounds,Kandy,Central Province Tourism,Tourism trade fair with exhibitors across the province.,0,2000,7.293,80.64,4.5,4,26.71,"tourism,tradefair,exhibition"
The Grand Kandyan High Tea / Themed Event,Food Event,10-Nov-25,15:00,The Grand Kandyan Hotel,"Peradeniya Road, Kandy",The Grand Kandyan,High tea themed event at the hotel.,1500,200,7.2918,80.6382,5,3,22.86,"tea,hotel,event"
Monthly Tech Summit in Kandy,Academic Seminar,17-Jul-24,13:15,Peradeniya Botanical Gardens Lawn,"174 Market Lane, Kandy",Kandy Cultural Society,An outdoor celebration showcasing local culture and crafts.,100,75,7.311374,80.596086,5,1,29.57,tickets_required
Weekly Cultural Show in Kandy,Education,27-Mar-24,20:30,Kandy Open-Air Stage,"41 Market Lane, Kandy",Peradeniya Botanical Events,A community-focused event bringing together locals and visitors.,0,250,7.273809,80.609451,4.2,17,31.57,"kids,registration"
Grand Business Meetup in Kandy,Market,29-Jul-25,9:45,Kandy City Centre Auditorium,"161 Hill Street, Kandy",Heritage Kandy,A community-focused event bringing together locals and visitors.,0,75,7.310836,80.615314,4.1,21,34,paid
Local Startup Pitch in Kandy,Sports Event,17-Jan-25,11:30,Local Community Hall,"69 Market Lane, Kandy",Kandy Tourism Board,Hands-on workshop suitable for beginners and professionals.,300,500,7.314932,80.635362,4.9,14,34.14,"networking,tickets_required"
Open Business Meetup in Kandy,Academic Seminar,25-Apr-23,13:00,Temple of the Tooth Grounds,"17 Lake Road, Kandy",Festival Lanka,An informative session with expert speakers and networking opportunities.,500,1000,7.313051,80.629703,4.3,12,30.43,"family,outdoor"
Local Job Fair in Kandy,Education,10-Apr-26,18:30,Riverbank Event Space,"127 Temple Road, Kandy",Peradeniya Botanical Events,Hands-on workshop suitable for beginners and professionals.,0,100,7.300463,80.650277,5,5,39.14,"professional,tickets_required,indoor"
Community Cricket Match in Kandy,Academic Seminar,4-Jan-26,14:30,Peradeniya Botanical Gardens Lawn,"41 Garden Avenue, Kandy",Kandy Tourism Board,An outdoor celebration showcasing local culture and crafts.,300,500,7.24026,80.640546,5,13,31.71,family
Annual Tech Summit in Kandy,Market,22-Dec-25,6:30,University of Peradeniya Lecture Theatre,"93 Peradeniya Road, Kandy",Sri Lanka Conference Org,A community-focused event bringing together locals and visitors.,0,750,7.304542,80.606762,5,3,32,"family,networking,professional"
Monthly Business Meetup in Kandy,Sports Event,27-May-26,19:15,Ramada Kandy Banquet,"103 Market Lane, Kandy",Festival Lanka,A community-focused event bringing together locals and visitors.,200,150,7.29199,80.620667,4.2,1985,49.14,"tickets_required,outdoor,registration"
Grand Food Festival in Kandy,Business Conference,19-May-23,7:30,Kandy City Centre Auditorium,"72 Market Lane, Kandy",Kandy Music Circle,A community-focused event bringing together locals and visitors.,2000,150,7.278833,80.627746,4.9,13,27.29,networking
Open Coding Workshop in Kandy,Cultural Festival,14-Aug-25,7:00,Mahaweli Reach Hotel Conference Room,"87 Peradeniya Road, Kandy",Peradeniya Botanical Events,"Live performances, food stalls, and family activities.",0,400,7.308934,80.607406,5,3,25.29,"outdoor,paid"
Local Cricket Match in Kandy,Market,14-Apr-23,6:00,Kandy Open-Air Stage,"125 Garden Avenue, Kandy",University of Peradeniya,Hands-on workshop suitable for beginners and professionals.,0,300,7.2571,80.618073,4.3,727,58.86,"student,tickets_required"
Annual Music Night in Kandy,Educational Workshop,21-Mar-24,7:00,Kandy Cultural Centre,"150 Garden Avenue, Kandy",Lanka Events Co.,An outdoor celebration showcasing local culture and crafts.,0,500,7.280228,80.64969,5,14,28.71,networking
Open Startup Pitch in Kandy,Business Expo,12-Mar-26,13:00,Peradeniya Botanical Gardens Lawn,"150 Hill Street, Kandy",Mahaweli Event Planners,An informative session with expert speakers and networking opportunities.,0,250,7.281823,80.655429,4.6,18,26.57,"networking,indoor,professional"
Grand Business Meetup in Kandy,Film Screening,27-Jul-25,9:00,Bogambara Stadium,"34 Main Street, Kandy",Kandy Cultural Society,A community-focused event bringing together locals and visitors.,300,400,7.310469,80.651549,1.8,4,32.14,"tickets_required,indoor,paid"
Grand Food Festival in Kandy,Sports Event,8-Aug-23,10:30,Peradeniya Botanical Gardens Lawn,"184 Main Street, Kandy",Mahaweli Event Planners,Hands-on workshop suitable for beginners and professionals.,0,400,7.256288,80.634397,4,163,44.86,"free,networking"
